conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,løse tekniske problemer,released,skill/competence,cross-sector,,Identifisere tekniske problemer ved bruk av enheter og digitale miljøer og løse dem (alt fra feilsøking til å løse mer komplekse problemer).,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,problemløsing med IKT-verktøy og -maskinvare | identifisere problemer | løse dataproblemer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,bruke e-tjenester,released,skill/competence,cross-sector,mulighet til å bruke e-tjenester | bruke online betalingsløsninger | bruke elektroniske tjenester | engasjere seg i medborgerskap gjennom digitale teknologier | bruke betalingsløsninger på nett | bruk av e-tjenester | benytte seg av e-tjenester | kan bruke e-tjenester,Delta i samfunnet ved å ta i bruk offentlige og private digitale tjenester. Søke muligheter for selvinnsikt og for deltakelse gjennom passende digitale teknologier.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital kommunikasjon og digitalt samarbeid | bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,bruke digitale teknologier kreativt,released,skill/competence,cross-sector,,Bruke digitale verktøy og teknologier for å skape kunnskap og for å innovere prosesser og produkter. Delta i kognitiv behandling enkeltvis og samlet for å forstå og løse konseptuelle problemer og problemsituasjoner i digitale miljøer.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,problemløsing med IKT-verktøy og -maskinvare | bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"evaluere data, informasjon og digitalt innhold",released,skill/competence,cross-sector,,"Analysere, sammenligne og kritisk evaluere troverdigheten og påliteligheten til datakilder, informasjon og digitalt innhold. Analysere, tolke og kritisk evaluere dataene, informasjonen og det digitale innholdet.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,digital databehandling | analyse og evaluering av informasjon og data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,dataprogrammering,released,knowledge,cross-sector,,"Teknikker og prinsipper for programvareutvikling, som analyse, algoritmer, koding, testing og sammenstilling av programmeringsparadigmer (f.eks. gjenstandsorientert programmering, funksjonell programmering) og av programspråk.",http://data.europa.eu/esco/isced-f/0613,utvikling og analyse av programvare og dataprogrammer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,identifisere gap innen digital kompetanse,released,skill/competence,cross-sector,,Forstå på hvilke områder ens egen digitale kompetanse trenger å forbedres eller oppdateres. Kunne støtte andre i deres utvikling av digital kompetanse. Lete etter muligheter til selvutvikling og holde tritt med den digitale utviklingen.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"problemløsing med IKT-verktøy og -maskinvare | overvåking, inspeksjon og testing"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,samarbeide gjennom digitale teknologier,released,skill/competence,cross-sector,,Bruke digitale verktøy og teknologier i samarbeidsprosesser og til sambygging og samskaping av ressurser og kunnskap.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital kommunikasjon og digitalt samarbeid | bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,beskytte personopplysninger og personvern,released,skill/competence,cross-sector,,"Beskytte personopplysninger og ivareta personvernet i digitale miljøer. Forstå hvordan du skal bruke og dele personlig identifiserbare opplysninger, samtidig som du beskytter deg selv og andre mot skade. Forstå at digitale tjenester benytter en «personvernpolicy» for å informere om hvordan personopplysninger brukes.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,IKT-sikkerhet | beskytte personvern og personopplysninger
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,dele gjennom digitale teknologier,released,skill/competence,cross-sector,,"Dele data, opplysninger og digitalt innhold med andre gjennom egnede digitale teknologier. Fungere som formidler og kjenne til praksiser for referanser og attribusjon.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital kommunikasjon og digitalt samarbeid | bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,IKT-sikkerhet,released,,,,"Personlig beskyttelse, vern av personopplysninger, vern av digital identitet, sikkerhetstiltak, sikker og bærekraftig bruk.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,beskytte it-enheter
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,identifisere teknologiske behov,released,skill/competence,cross-sector,,"Vurdere behov og identifiserer digitale verktøy og mulige teknologiske svar for å svare på disse behovene. Justere og tilpasse digitale miljøer etter personlige behov (f.eks. tilgjengelighet).
	",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9,problemløsing med IKT-verktøy og -maskinvare | utvikle løsninger
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"administrere data, informasjon og digitalt innhold",released,skill/competence,cross-sector,,"Organisere, lagre og hente ut data, informasjon og innhold i digitale miljøer. Organisere og behandle dem i et strukturert miljø.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,digital databehandling | administrasjon av informasjon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,digital kommunikasjon og digitalt samarbeid,released,,,,"Kommunisere i digitale miljøer, dele ressurser via nettverktøy, lenke til andre og samarbeide med digitale verktøy, samhandle og delta i samfunn og nettverk, tverrkulturell bevissthet.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,integrere og gjennomarbeide digitalt innhold på nytt,released,skill/competence,cross-sector,,"Endre, forfine, forbedre og integrere opplysninger og innhold til eksisterende kunnskap for å skape nytt, originalt og relevant innhold og kunnskap.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,opprettelse av digitalt innhold | bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,utvikle digitalt innhold,released,skill/competence,cross-sector,,Utarbeide og redigere digitalt innhold i ulike formater. Uttrykke seg ved hjelp av digitale verktøy.,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,opprettelse av digitalt innhold | bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,digital databehandling,released,,,,"Identifisere, finne, hente, lagre, organisere og analysere digitale opplysninger og vurdere opplysningenes relevans og formål.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,tilgang til og analyse av digitale data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,problemløsing med IKT-verktøy og -maskinvare,released,,,,"Identifisere digitale behov og ressurser, treffe informerte beslutninger om de mest hensiktsmessige digitale verktøyene for formålet, løse konseptuelle problemer med digitale virkemidler, bruke teknologi kreativt, løse tekniske problemer, heve egen og andres kompetanse.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,samhandle gjennom digitale teknologier,released,skill/competence,cross-sector,,"Samhandle gjennom ulike typer digital teknologi, og forstå relevante metoder for digital kommunikasjon i en gitt sammenheng.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital kommunikasjon og digitalt samarbeid | bruke digitale verktøy for samarbeid og produktivitet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,immaterielle rettigheter for digitalt innhold,released,knowledge,cross-sector,,"Opphavsretts- og lisensbestemmelser som gjelder for data, informasjon og digitalt innhold.
	",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0211,opprettelse av digitalt innhold | audiovisuell teknikk og medieproduksjon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,administrere digital identitet,released,skill/competence,cross-sector,,"Skape og forvalte ett eller flere digitale identiteter, være i stand til å beskytte eget omdømme, håndtere de dataene man produserer gjennom flere digitale verktøy, miljøer og tjenester.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,digital kommunikasjon og digitalt samarbeid | arbeide med digitale enheter og applikasjoner
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,beskytte miljøet mot påvirkningen fra digitale teknologier,released,skill/competence,occupation-specific,,Være oppmerksom på miljøvirkningene av digital teknologi og bruken av den.,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,vurdere miljøvirkningen av personlig atferd | IKT-sikkerhet | overholde lover og standarder for miljøbeskyttelse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,beskytte helse og velvære under bruk av digitale teknologier,released,skill/competence,cross-sector,,Være i stand til å unngå helsefare og trusler mot fysisk og psykisk velferd når digital teknologi brukes. Kunne beskytte seg og andre fra mulige farer i digitale miljøer (f.eks. digital mobbing). Være oppmerksom på digitale teknologier for sosial velferd og sosial integrasjon.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,IKT-sikkerhet | overholde helse- og sikkerhetsprosedyrer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,beskytte IKT-enheter,released,skill/competence,cross-sector,,"Beskytte utstyr og digitalt innhold, og forstå risikoer og trusler i digitale miljøer. Vite om sikkerhetstiltak og ta behørig hensyn til pålitelighet og personvern. Bruke verktøy og metoder som gir størst mulig sikkerhet for IKT-enheter og -informasjon ved å kontrollere tilgangen, for eksempel passord, digitale signaturer, biometri og beskyttelsessystemer, for eksempel brannmur, antivirus, søppelpostfiltre.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,IKT-sikkerhet | beskytte it-enheter
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"bla gjennom, søke i, og filtrere data, informasjon og digitalt innhold",released,skill/competence,cross-sector,,"Artikulere informasjonsbehov, søke etter data, informasjon og innhold i digitale miljøer, få tilgang til dem og navigere mellom dem. Opprette og oppdatere strategier for personlig søk.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"digital databehandling | bla gjennom, søke i og filtrere digitale data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,opprettelse av digitalt innhold,released,,,,"Skape og redigere nytt innhold (tekst-, bilde- og videobehandling); integrere og gjenbruke tidligere kunnskap og innhold; produsere kreative uttrykk, utsending av medier og programmering; håndtere og bruke immaterialrettigheter og lisenser.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,bruke digitale verktøy for samarbeid og produktivitet
