conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Teknikker og prinsipper for utvikling av programvare, som analyse, algoritmer, koding, testing og kompilering av programmer i Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,dataprogrammering | utvikling og analyse av programvare og dataprogrammer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,Inkrementell utvikling,released,knowledge,sector-specific,,Den inkrementelle utviklingsmodellen er en metode for utforming av programvaresystemer og -programmer.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,Metoder innen IKT-prosjektledelse | utvikling og analyse av programvare og dataprogrammer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Dataprogrammet KDevelop er en samling av verktøy for programvareutvikling, som brukes til programmering, f.eks. kompilator, debugger, koderedigeringsprogram og kodeuthever, satt sammen i et enhetlig brukergrensesnitt. Det er utviklet av programvaresamfunnet KDE.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,integrert utviklingsmiljøprogramvare | utvikling og administrasjon av databaser og datanett
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (læringsstyringssystemer),released,knowledge,sector-specific,,"Læringssystemet Absorb er en e-læringsplattform for å skape, administrere og levere e-læringskurs eller opplæringsprogrammer for videregående opplæring.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,læringsstyringssystemer | utvikling og administrasjon av databaser og datanett
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,utvikle innovative blokkjedearkitekturer,released,skill/competence,cross-sector,bygge innovative blockchain-arkitekturer | bygg innovative blockchain-arkitekturer,"Utvikle nye blokkjedearkitekturer som adresserer egenskaper og prioriteringer ettersom de er nødvendige for spesifikke bruksområder. Argumentere fordelene og mangler ved slike nye arkitekturer med hensyn til eksisterende.
	",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,designe it-system eller -programvare
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,nettverksteknikk,released,knowledge,sector-specific,nettverksarkitektur,"Underfeltet av datateknologi som handler om å administrere tilkoblingen til nettverk gjennom data, tale, samtaler og trådløse nettverkstjenester.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,datateknologi | elektronikk og automasjon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,flytte eksisterende data,released,skill/competence,sector-specific,,Anvende metoder for migrasjon og konvertering av eksisterende data for å overføre eller konvertere data mellom formater eller lagrings- eller datasystemer.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"innhente, forvalte og lagre data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,definere fysisk databasestruktur,released,skill/competence,sector-specific,,"Angi den fysiske konfigurasjonen til databasefiler på et gitt medium. Dette består av detaljerte spesifikasjoner for indekseringsalternativer, datatyper og dataelementer som er plassert i datakatalogen.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"innhente, forvalte og lagre data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Maltego-plattformen er et rettsteknisk program som bruker datautvinning for å gi en oversikt over organisasjoners miljø, avdekke sikkerhetssvakheter i systemet som kan gi uvedkommende tilgang og vise kompleksiteten ved feil i infrastrukturen.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,utvikling og analyse av programvare og dataprogrammer | verktøy for penetrasjonstesting
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,betjene radioutstyr,released,skill/competence,cross-sector,,"Konfigurere og betjene radioinnretninger og tilbehør, for eksempel kringkastingskonsoller, forsterkere og mikrofoner. Forstå det grunnleggende i radiooperatørspråket og, om nødvendig, gi instruksjoner om riktig håndtering av radioutstyr.",http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,koordinere ekstern kommunikasjon | betjene kommunikasjonsutstyr
