conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,lære opp ansatte i å redusere matavfall,released,skill/competence,sector-specific,lære elevene matsvinnreduksjon | utdanne ansatte om matsvinn | utdanne arbeidere om metoder for resirkulering av mat | informere personalet om matsvinnsreduksjon,"Etablere nye opplærings- og personalutviklingsbestemmelser for å støtte ansattes kunnskap om forebygging av matavfall og praksiser for resirkulering av mat. Sikre at ansatte forstår metoder og verktøy for resirkulering av mat, f.eks. å sortere avfall.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,gi opplæring i operasjonelle prosedyrer
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,utvikle energisbeparende konsepter,released,skill/competence,cross-sector,,"Bruke nåværende forskningsresultater og samarbeide med sakkyndige for å optimere eller utvikle konsepter, utstyr og produksjonsprosesser som krever en mindre mengde energi, som nye isoleringsmetoder og materialer.",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,tenke innovativt | utarbeide retningslinjer og rutiner for drift
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,installere varmepumpe,released,skill/competence,cross-sector,,"Installere varmepumper, som bruker de fysiske egenskapene til stoffer som kalles kjølemidler, til å utvinne varme fra miljøet og frigjøre den i et varmere miljø, i motsetning til spontan varmestrøm. Lage nødvendige åpninger og installere delene av varmepumpen som skal være innendørs og utendørs. Kople til elektrisitet og eventuelle kanaler og konfigurere varmepumpen.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"installere utstyr for oppvarming, ventilasjon og luftkondisjonering"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,designe biomasseinstallasjoner,released,skill/competence,sector-specific,design av installasjon av biomasse | design av biomassesystem,"Design energisystem for biomasse. Bestem omfanget av konstruksjonen, slik som påkrevd plass og vekt. Beregn indikatorer som kapasitet, strømning og temperaturer. Lag detaljerte beskrivelser og tegninger av designet.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,designe elektriske eller elektroniske system eller utstyr
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,vedlikeholde sorteringsutstyr,released,skill/competence,sector-specific,,Utføre rutinemessig vedlikehold samt mindre reparasjoner på utstyret som brukes til sortering av avfall og resirkulerbare materialer.,http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,vedlikeholde utstyr | installere deler av tre og metall
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,bidra til å fremme biologisk mangfold og dyrevelferd,released,skill/competence,transversal,tilegne seg bærekraftig matvaner | fremme økologisk og biologisk matforbruk | konkret støtte biologisk mangfold og dyrevelferd | ta hensyn til bærekraftsspørsmål i forbruksvalg | ta hensyn til dyrevelferd ved kjøp av matvarer | implementere miljøvalg i egne matvaner,"Leve på en måte som bidrar til å opprettholde stabile økosystemer og bekjempe masseutryddelse, for eksempel ved å gjøre bevisste kostholdsvalg som støtter økologisk matproduksjon og dyrevelferd
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,utføre en forhåndsvurdering for bygningsstyringssystemer,released,skill/competence,sector-specific,gjennomføre bms-mulighetsstudie,"Utføre evaluering og vurdering av bygningsstyringssystemets potensial. Utføre en standardisert studie for å fastslå energisparingsbidrag, kostnader og restriksjoner, og foreta undersøkelser for å ta informerte beslutninger.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,gjennomføre mulighetsstudie | analysere forretningsvirksomheter
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,forskrifter om smitteeksponering,released,knowledge,cross-sector,,"Regler for eksponering for forurensede materialer eller farlige miljøer som virker inn på tiltakene knyttet til risikovurdering, reduksjon av videre eksponering, karantene og behandling av utsatte personer.",http://data.europa.eu/esco/isced-f/1021,"vann, avløp og renhold"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,fjerne kontaminerte materialer,released,skill/competence,sector-specific,,"Fjerne materialer og utstyr som er forurenset med farlige stoffer, for å beskytte omgivelsene mot ytterligere forurensning, og for å behandle eller avhende forurensede materialer.",http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,vurdere forurensning | håndtere og kaste farlig avfall
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,redde dyr,released,skill/competence,sector-specific,,Redde dyr funnet i situasjoner som utgjør en umiddelbar eller potensiell trussel for deres velferd.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,opprettholde og håndheve fysisk sikkerhet
