conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,teknisk biomedisiner,released,,"Tekniske biomedisinere kombinerer kunnskap om tekniske prinsipper og biologiske funn for utvikling av medisinske behandlinger, legemidler og generelle helseformål. De kan utvikle løsninger, fra forbedring av innholdsstoffer i tradisjonelle legemidler til utvikling av implantater og behandling av vev.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bioingeniør
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,kriminolog,released,,"Kriminologer studerer forhold knyttet til mennesker, for eksempel sosiale og psykologiske aspekter, som kan føre til at de begår straffbare handlinger. De observerer og analyserer ulike faktorer, fra atferdsmessige forhold til sosial bakgrunn og miljøet til lovbrytere for å gi organisasjoner råd om forebygging av kriminalitet.",http://data.europa.eu/esco/isco/C2632,Rådgivere/forskere
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,universitetslærer i økonomi,released,,"Universitetslærere i økonomi er professorer, lektorer, lærere, forelesere, foreleserassistenter, veiledere osv. som underviser studenter i økonomi. De utarbeider læreplaner, forbereder forelesninger, seminarer, kurs osv., følger opp læringsresultater og har tilsyn med studentenes studieforløp. De driver akademisk forskning innen økonomifaget og legger fram sine funn på konferanser og i publikasjoner. De er involvert i noen lederfunksjoner ved universitetet.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,universitetslærer i legevitenskap,released,,"Universitetslærere i legevitenskap er professorer, lærere eller forelesere, og ofte leger, som underviser studenter i medisin, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet for å forberede forelesninger og eksamener, rette prøver og eksamener, lede laboratorieøvelser og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning innen medisin, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,"ingeniør, medisinsk teknologi",released,,"Ingeniører, medisinsk teknologi utformer og utvikler medisintekniske systemer, installasjoner og apparater som pacemakere, MR-skannere og røntgenmaskiner. De følger opp hele produksjonsprosessen fra konseptutvikling til produktgjennomføring. De utarbeider produktforbedringer, utvikler metoder og teknikker for å evaluere designegnethet, samordner innledende produksjon, utvikler testprosedyrer, tegner produksjonsdiagrammer og utfører andre oppgaver.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektronikkingeniør
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historiker,released,,"Historikere undersøker, analyserer, tolker og presenterer tidligere menneskesamfunn. De analyserer dokumenter, kilder og spor fra fortiden, for å forstå tidligere samfunn.",http://data.europa.eu/esco/isco/C2633,Rådgivere/forskere
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,kjemiker,released,,"Kjemikere forsker på stoffers kjemiske struktur i laboratorier. De omsetter forskningsresultatene til industriproduksjonsprosesser, som blir brukt videre i utviklingen eller forbedringen av produkter. Kjemikere prøver også kvaliteten på de framstilte produktene og deres miljøpåvirkning.",http://data.europa.eu/esco/isco/C2113,Kjemikere
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,farmakolog,released,,"Farmakologer studerer hvordan legemidler interagerer med organismer, levende systemer og deres deler (dvs. celler, vev eller organer). Gjennom sin forskning bidrar de til å identifisere stoffer som kan inntas av mennesker, og som har de biokjemiske egenskapene som skal til for å helbrede sykdommer.",http://data.europa.eu/esco/isco/C2131,Biologer
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,universitetslærer i sosiologi,released,,"Universitetslærere i sosiologi er professorer, lærere eller forelesere som underviser studenter i sosiologi, som hovedsakelig er et akademisk fag. De samarbeider med sine forsknings- og undervisningsassistenter på universitetet 
for å forberede forelesninger og eksamener, rette prøver og eksamener og lede evaluerings- og tilbakemeldingssammenkomster for studentene. De driver også akademisk forskning på innen sosiologi, de publiserer funn, og de samarbeider med andre universitetskollegaer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,lektor
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesiolog,released,,"Kinesiologer studerer og forsker på kroppens bevegelse, dens muskler og deler. De analyserer og bruker vitenskapelige data og metoder for å forbedre kroppsbevegelse, generelt hos mennesker, gjennom en forståelse av slike områder som fysiologi, kinetikk, nevrologi og biologi. De gjenkjenner virkningene som noen faktorer, som kroppstilstand, har på bevegelse, og utvikler løsninger for å forbedre generell mekanikk og bevegelighet.",http://data.europa.eu/esco/isco/C2269,Kiropraktorer mv.
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,kosmetikkjemiker,released,,"Kosmetikkjemikere utvikler formler for å skape og teste nye kosmetiske produkter og forbedre eksisterende kosmetiske produkter som parfymer og dufter, leppestift, vanntette lotioner og sminke, hårfarge, såper og rengjøringsmidler med spesielle egenskaper, hudprodukter eller helsetilskudd.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,kjemiker
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,miljøforsker,released,,"Miljøforskere identifiserer problemer og finner løsninger for å begrense miljøfarer ved å utføre analyse på prøver som luft, vann eller jord. De gir råd om eller utarbeider miljøstrategier og arbeider for bedre vern av vannforsyninger og bedre håndtering av avfallsdeponier. Miljøforskere utfører miljørisikovurderinger og analyserer miljøkonsekvensene av nye løsninger, byggeplasser eller miljøforandringer for å sikre at miljøbestemmelsene blir fulgt.",http://data.europa.eu/esco/isco/C2133,Miljøvernrådgivere
