conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,vise initiativ,released,initiere tiltak | være en drivkraft | gi insitament | vise aktivt initiativ | ta initiativ,"Være proaktiv og ta første skritt uten å vente på hva andre sier eller gjør.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,bidra til å fremme biologisk mangfold og dyrevelferd,released,tilegne seg bærekraftig matvaner | fremme økologisk og biologisk matforbruk | konkret støtte biologisk mangfold og dyrevelferd | ta hensyn til bærekraftsspørsmål i forbruksvalg | ta hensyn til dyrevelferd ved kjøp av matvarer | implementere miljøvalg i egne matvaner,"Leve på en måte som bidrar til å opprettholde stabile økosystemer og bekjempe masseutryddelse, for eksempel ved å gjøre bevisste kostholdsvalg som støtter økologisk matproduksjon og dyrevelferd
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,gi råd,released,veilede andre | veileder enkeltpersoner | gi råd til andre,"Komme med forslag til hva som bør gjøres.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,støtte andre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,godta kritikk og veiledning,released,håndtere tilbakemeldinger | godta tilbakemeldinger | akseptere kritikere | tolerere kritikere | ta imot konstruktiv kritikk | ønske tilbakemeldinger velkommen | ta imot kritikk,"Håndtere negative tilbakemeldinger fra andre og være åpen for kritikk, og prøve å se hvor det er rom for forbedring.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,utvise vilje til å lære
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"anvende kunnskap innen filosofi, etikk og religion",released,"handle i henhold til etiske og religiøse verdier | evaluere de moralske og etiske konsekvensene av handlinger | vurdere konsekvensene og virkningen av ideer, muligheter og handlinger | anvende tekning fra ulike åndsretninger | følge etiske verdier og religiøse overbevisninger","Utvikle et eget perspektiv rundt meningen og hensikten med livet og rollen til den enkelte, herunder hva det betyr å leve, å dø og å være et menneske.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,anvende generell kunnskap
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,bidra til redusert forurensning,released,hindre forurensning | velge offentlig transport istedenfor privat | bruke offentlig transport | redusere støy | håndtere sitt eget avfall,"Bidra til å redusere luft-, støy-, lys-, vann- og miljøforurensning, for eksempel ved å bruke offentlig transport, ikke kaste avfall i naturen og redusere unødvendige lys- og støyutslipp, særlig om natten.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,bruke miljørelatert kompetanse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,overholde forpliktelser,released,,"Utføre oppgavene sine på en selvdisiplinert, pålitelig og målrettet måte.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,arbeide effektivt
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,tilpasse seg til fysiske krav,released,vise fysisk motstandskraft | tåle ugunstige temperaturer | arbeide under ugunstige værforhold,"Utvise evnen til å tåle høy fysisk belastning i jobb eller idrett. Dette omfatter å sitte på kne, stå eller løpe lenge og arbeide under vanskelige værforhold som sterk varme, kulde eller regn.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,forholde seg til fysiske omstendigheter
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,påta seg ansvar,released,vise en samvittighetsfull holdning | vise ansvarlig oppførsel | være klar til å ta ansvar | vise ansvar | bevise ansvarsfølelse,"Akseptere ansvar for faglige beslutninger og handlinger man har tatt selv eller delegert til andre.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,vise besluttsomhet,released,vise entusiasme | vise positiv holdning | ha klare mål | strebe etter resultater | gjør en innsats | vise positiv tenkning | være utholdende | strebe etter suksess | vise en fokusert tilnærming,"Vise vilje til å gjøre noe som er vanskelig og som krever hardt arbeid. Vise innsatsvilje drevet av interesse eller glede over å arbeide, i fravær av press utenfra.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,ha en proaktiv tilnærming
