skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift,share_in_ai_jobs_pct
Python,24,66,0.27586206896551724,0.0066,41.8,27.6
Programmering,13,59,0.14942528735632185,0.0059,25.3,14.9
Dataanalyse,13,79,0.14942528735632185,0.0079,18.9,14.9
Dataplattform,10,38,0.11494252873563218,0.0038,30.2,11.5
IT,10,174,0.11494252873563218,0.0174,6.6,11.5
Programvareutvikling,5,18,0.05747126436781609,0.0018,31.9,5.7
Produktutvikling,5,79,0.05747126436781609,0.0079,7.3,5.7
Digitalisering,5,186,0.05747126436781609,0.0186,3.1,5.7
programmering,4,6,0.04597701149425287,0.0006,76.6,4.6
Dataanalytiker,4,8,0.04597701149425287,0.0008,57.5,4.6
Informatikk,4,11,0.04597701149425287,0.0011,41.8,4.6
Arkitektur,4,38,0.04597701149425287,0.0038,12.1,4.6
Programmerer,4,40,0.04597701149425287,0.004,11.5,4.6
Systemutvikling,4,66,0.04597701149425287,0.0066,7.0,4.6
digitalisering,3,10,0.034482758620689655,0.001,34.5,3.4
C#,3,23,0.034482758620689655,0.0023,15.0,3.4
Java,3,34,0.034482758620689655,0.0034,10.1,3.4
Informasjonssikkerhet,3,58,0.034482758620689655,0.0058,5.9,3.4
Data science,2,2,0.022988505747126436,0.0002,114.9,2.3
KI-ingeniør,2,2,0.022988505747126436,0.0002,114.9,2.3
data science,2,2,0.022988505747126436,0.0002,114.9,2.3
data scientist,2,2,0.022988505747126436,0.0002,114.9,2.3
informatikk,2,4,0.022988505747126436,0.0004,57.5,2.3
Skyteknologi,2,5,0.022988505747126436,0.0005,46.0,2.3
SaaS,2,18,0.022988505747126436,0.0018,12.8,2.3
.NET,2,21,0.022988505747126436,0.0021,10.9,2.3
DevOps,2,31,0.022988505747126436,0.0031,7.4,2.3
Systemutvikler,2,43,0.022988505747126436,0.0043,5.3,2.3
Algoritmer,1,1,0.011494252873563218,0.0001,114.9,1.1
Analyseplattform,1,1,0.011494252873563218,0.0001,114.9,1.1
Cybersecurity,1,1,0.011494252873563218,0.0001,114.9,1.1
Kryptoforsering,1,1,0.011494252873563218,0.0001,114.9,1.1
Nettsidedesign,1,1,0.011494252873563218,0.0001,114.9,1.1
PLC,1,1,0.011494252873563218,0.0001,114.9,1.1
Senior Data Scientist,1,1,0.011494252873563218,0.0001,114.9,1.1
Sikkerhetsrammeverk,1,1,0.011494252873563218,0.0001,114.9,1.1
Sikkerhetsstandarder,1,1,0.011494252873563218,0.0001,114.9,1.1
cloud engineer,1,1,0.011494252873563218,0.0001,114.9,1.1
vitenskapelig databehandling,1,1,0.011494252873563218,0.0001,114.9,1.1
Datavitenskap,1,2,0.011494252873563218,0.0002,57.5,1.1
dataplattform,1,2,0.011494252873563218,0.0002,57.5,1.1
Algoritmeutvikling,1,3,0.011494252873563218,0.0003,38.3,1.1
Grafisk designer,1,5,0.011494252873563218,0.0005,23.0,1.1
R,1,5,0.011494252873563218,0.0005,23.0,1.1
dataanalyse,1,5,0.011494252873563218,0.0005,23.0,1.1
GDPR,1,6,0.011494252873563218,0.0006,19.2,1.1
cybersikkerhet,1,6,0.011494252873563218,0.0006,19.2,1.1
Data governance,1,7,0.011494252873563218,0.0007,16.4,1.1
Sky,1,8,0.011494252873563218,0.0008,14.4,1.1
Skyplattform,1,8,0.011494252873563218,0.0008,14.4,1.1
Datavarehus,1,10,0.011494252873563218,0.001,11.5,1.1
E-handel,1,10,0.011494252873563218,0.001,11.5,1.1
Robotikk,1,10,0.011494252873563218,0.001,11.5,1.1
IT-arkitekt,1,11,0.011494252873563218,0.0011,10.4,1.1
endringsledelse,1,12,0.011494252873563218,0.0012,9.6,1.1
Kybernetikk,1,15,0.011494252873563218,0.0015,7.7,1.1
IT-sikkerhet,1,45,0.011494252873563218,0.0045,2.6,1.1
