skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
.NET,2,21,0.022988505747126436,0.0021,10.946907498631637
AI,57,57,0.6551724137931034,0.0057,114.94252873563218
AI Engineer,1,1,0.011494252873563218,0.0001,114.94252873563218
AI Governance,1,1,0.011494252873563218,0.0001,114.94252873563218
AI konsulent,1,1,0.011494252873563218,0.0001,114.94252873563218
AI utvikler,1,1,0.011494252873563218,0.0001,114.94252873563218
AI-leder,1,1,0.011494252873563218,0.0001,114.94252873563218
AI-utvikler,4,4,0.04597701149425287,0.0004,114.94252873563218
AI-utvikling,1,2,0.011494252873563218,0.0002,57.47126436781609
API-integrasjon,1,3,0.011494252873563218,0.0003,38.31417624521073
Administrasjon,1,571,0.011494252873563218,0.0571,0.20130040058779716
Advokatfirma,1,4,0.011494252873563218,0.0004,28.735632183908045
Akademia,1,16,0.011494252873563218,0.0016,7.183908045977011
Akademisk,1,2,0.011494252873563218,0.0002,57.47126436781609
Aktuar,1,2,0.011494252873563218,0.0002,57.47126436781609
Algoritmer,1,1,0.011494252873563218,0.0001,114.94252873563218
Algoritmeutvikling,1,3,0.011494252873563218,0.0003,38.31417624521073
Analyse,22,367,0.25287356321839083,0.0367,6.890287826114191
Analyseplattform,1,1,0.011494252873563218,0.0001,114.94252873563218
Analytiker,2,41,0.022988505747126436,0.0041,5.6069526212503495
Apotek,1,6,0.011494252873563218,0.0006,19.157088122605366
App,1,1,0.011494252873563218,0.0001,114.94252873563218
Arkitekt,1,26,0.011494252873563218,0.0026,4.420866489832007
Arkitektur,4,38,0.04597701149425287,0.0038,12.099213551119178
Arktis,1,4,0.011494252873563218,0.0004,28.735632183908045
Automatisering,7,92,0.08045977011494253,0.0092,8.745627186406796
Automatiseringsingeniør,1,1,0.011494252873563218,0.0001,114.94252873563218
Azure,6,50,0.06896551724137931,0.005,13.793103448275861
B2B,1,88,0.011494252873563218,0.0088,1.3061650992685474
B2B salg,1,8,0.011494252873563218,0.0008,14.367816091954023
Backend,3,32,0.034482758620689655,0.0032,10.775862068965516
Bank,2,65,0.022988505747126436,0.0065,3.5366931918656057
Bedrift,1,4,0.011494252873563218,0.0004,28.735632183908045
