city,total_jobs,core_digital_jobs,expanded_digital_jobs,core_digital_share,expanded_digital_share
AKLAND,2,0,0,0.0,0.0
AKSDAL,15,3,4,0.2,0.26666666666666666
ALTA,64,2,8,0.03125,0.125
ALVDAL,5,0,0,0.0,0.0
ANDEBU,5,0,0,0.0,0.0
ANDENES,21,0,2,0.0,0.09523809523809523
ANKENES,2,0,0,0.0,0.0
AREMARK,1,0,0,0.0,0.0
ARENDAL,54,4,7,0.07407407407407407,0.12962962962962962
ARNATVEIT,6,1,1,0.16666666666666666,0.16666666666666666
ASKER,74,12,17,0.16216216216216217,0.22972972972972974
ASKIM,33,2,2,0.06060606060606061,0.06060606060606061
ASKVOLL,3,0,0,0.0,0.0
AUKRA,6,0,0,0.0,0.0
AULI,1,0,0,0.0,0.0
AURE,1,0,0,0.0,0.0
AUREOSEN,1,0,0,0.0,0.0
AURLAND,1,0,0,0.0,0.0
AURSKOG,4,0,1,0.0,0.25
AVALDSNES,11,1,1,0.09090909090909091,0.09090909090909091
AVERØY,12,0,1,0.0,0.08333333333333333
BAGN,1,0,0,0.0,0.0
BALDERSHEIM,1,0,0,0.0,0.0
BALESTRAND,2,0,0,0.0,0.0
BARDU,8,0,0,0.0,0.0
BARDUFOSS,6,1,1,0.16666666666666666,0.16666666666666666
BARKÅKER,6,2,3,0.3333333333333333,0.5
BATNFJORDSØRA,2,0,0,0.0,0.0
BEGNADALEN,2,0,0,0.0,0.0
BEISFJORD,1,0,0,0.0,0.0
BEITOSTØLEN,1,0,0,0.0,0.0
BEKKESTUA,7,0,0,0.0,0.0
BERG I ØSTFOLD,1,0,0,0.0,0.0
BERGEN,411,64,84,0.15571776155717762,0.20437956204379562
BERLEVÅG,2,0,0,0.0,0.0
BILLINGSTAD,15,2,4,0.13333333333333333,0.26666666666666666
BIRKELAND,2,0,0,0.0,0.0
BIRTAVARRE,3,0,0,0.0,0.0
BJERKA,2,0,0,0.0,0.0
BJERKVIK,4,0,0,0.0,0.0
BJONEROA,1,0,0,0.0,0.0
BJORBEKK,7,0,0,0.0,0.0
BJUGN,1,0,0,0.0,0.0
BJØRKELANGEN,13,0,1,0.0,0.07692307692307693
BJØRNDALSTRÆ,2,0,0,0.0,0.0
BJØRNEMYR,11,1,1,0.09090909090909091,0.09090909090909091
BJØRNEVATN,4,0,0,0.0,0.0
BLAKER,1,0,0,0.0,0.0
BLEIK,1,0,0,0.0,0.0
BLOMSTERDALEN,23,0,1,0.0,0.043478260869565216
BLYSTADLIA,1,0,0,0.0,0.0
BODØ,215,17,29,0.07906976744186046,0.13488372093023257
