city,job_count
OSLO,1855
TRONDHEIM,417
BERGEN,411
Missing location,385
STAVANGER,285
BODØ,215
TROMSØ,200
KONGSBERG,141
SANDNES,141
ÅLESUND,138
KRISTIANSAND S,128
DRAMMEN,119
HAUGESUND,101
LØRENSKOG,87
SKIEN,81
TØNSBERG,81
LILLEHAMMER,79
ASKER,74
MOLDE,66
HAMAR,64
ALTA,64
SANDEFJORD,57
LILLESTRØM,55
ARENDAL,54
MO I RANA,53
PORSGRUNN,53
HARSTAD,52
MOSS,51
GJØVIK,47
FREDRIKSTAD,47
FØRDE,45
SKI,44
HAMMERFEST,44
JESSHEIM,43
SANDVIKA,43
FORNEBU,42
MOSJØEN,41
LARVIK,41
KJELLER,41
NESTTUN,39
NARVIK,37
HØNEFOSS,36
KONGSVINGER,35
RAUFOSS,35
SARPSBORG,34
LYSAKER,34
ASKIM,33
VESTBY,33
STEINKJER,33
STRAUME,32
SORTLAND,31
HALDEN,31
SOLA,30
ELVERUM,30
GRÅLUM,30
KIRKENES,29
TILLER,28
ÅS,28
STORD,28
FYLLINGSDALEN,27
RÅDAL,27
GRIMSTAD,27
VOSS,27
KRISTIANSUND N,26
SVOLVÆR,25
STJØRDAL,25
FAUSKE,25
BRUMUNDDAL,23
NAMSOS,23
LEVANGER,23
BLOMSTERDALEN,23
HORTEN,22
FINNSNES,22
NØTTERØY,22
GARDERMOEN,22
VADSØ,22
OS,21
LEKNES,21
ANDENES,21
ORKANGER,21
KOLSÅS,20
BRYNE,20
KOKSTAD,20
TROMSDALEN,20
LODDEFJORD,20
SKEDSMOKORSET,19
LAKSEVÅG,19
NÆRBØ,19
LONGYEARBYEN,18
STRØMMEN,18
NYBORG,17
TRANBY,17
MYSEN,16
JAREN,16
RANDABERG,16
SANDNESSJØEN,16
BILLINGSTAD,15
AKSDAL,15
KLEPP STASJON,15
TANANGER,15
MANDAL,15
VERDAL,15
ODDA,15
NORDFJORDEID,15
BRØNNØYSUND,14
GODVIK,14
VOLDA,14
HOLMESTRAND,13
STOKMARKNES,13
RANHEIM,13
SOGNDAL,13
BJØRKELANGEN,13
NESBRU,13
ROLVSØY,12
HEIMDAL,12
LYNGDAL,12
GJETTUM,12
KRÅKERØY,12
ISDALSTØ,12
DRØBAK,12
RJUKAN,12
AVERØY,12
STATHELLE,12
STORSTEINNES,12
HOV,12
EGERSUND,12
LILLESAND,12
LONEVÅG,12
SØGNE,12
FLEKKEFJORD,11
HAFRSFJORD,11
SANDSLI,11
KOPERVIK,11
LIER,11
BJØRNEMYR,11
AVALDSNES,11
KOLVEREID,11
MELHUS,11
RYGGE,11
ØYER,11
RAKKESTAD,11
ØLEN,11
STANGE,11
SUNNDALSØRA,11
RØRVIK,10
KLEPPE,10
TANA,10
OTTA,10
KLEPPESTØ,10
FLORØ,10
VINTERBRO,10
EVENES,9
SØREIDGREND,9
KARMSUND,9
OPPDAL,9
LIERSTRANDA,9
KARASJOK,9
GAMLE FREDRIKSTAD,9
SVEIO,9
ÅNDALSNES,9
GRESSVIK,9
STORSLETT,9
TYNSET,9
ØRSTA,9
FAGERNES,9
BØ I TELEMARK,9
SANDE I VESTFOLD,9
VIKERSUND,9
MJØNDALEN,9
LINDESNES,9
ULSTEINVIK,9
