city,skill,job_count,city_total_skill_mentions,city_total_jobs,skill_share,job_share
AKLAND,Anleggsleder,1,19,2,0.05263157894736842,0.5
AKLAND,Arbeidsmiljø,1,19,2,0.05263157894736842,0.5
AKLAND,Betongarbeider,1,19,2,0.05263157894736842,0.5
AKLAND,Bygg,1,19,2,0.05263157894736842,0.5
AKLAND,Byggeplass,1,19,2,0.05263157894736842,0.5
AKLAND,Fagbrev,1,19,2,0.05263157894736842,0.5
AKLAND,Forskalingsarbeid,1,19,2,0.05263157894736842,0.5
AKLAND,HMS,2,19,2,0.10526315789473684,1.0
AKLAND,HMS-leder,1,19,2,0.05263157894736842,0.5
AKLAND,Helse miljø sikkerhet,1,19,2,0.05263157894736842,0.5
AKLAND,Leder,2,19,2,0.10526315789473684,1.0
AKLAND,Miljøfyrtårn,1,19,2,0.05263157894736842,0.5
AKLAND,Renhold,1,19,2,0.05263157894736842,0.5
AKLAND,Skadebegrensning,1,19,2,0.05263157894736842,0.5
AKLAND,Stillas,1,19,2,0.05263157894736842,0.5
AKLAND,Systematisk HMS-arbeid,1,19,2,0.05263157894736842,0.5
AKLAND,Tømrer,1,19,2,0.05263157894736842,0.5
AKSDAL,ASK,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Administrasjon,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Administrativ konsulent,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Anlegg,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Assistent,3,137,15,0.021897810218978103,0.2
AKSDAL,Avlastning,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,BPA,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Barn,2,137,15,0.014598540145985401,0.13333333333333333
AKSDAL,Barne- og ungdomsarbeider,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Barnehage,2,137,15,0.014598540145985401,0.13333333333333333
AKSDAL,Barnehageassistent,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Bemanningsplanlegging,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Betong,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Betongvarer,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Bistand,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Bolig,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Brukerstyrt personlig assistent,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Byggeplass,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,CNC-operatør,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Dagtilbud,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Databaser,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Digitalisering,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Dreiing,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Drift,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,EMC,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Ekspeditør,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Eldreomsorg,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Elektronikk,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Elektroteknikk,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Fagbrev,2,137,15,0.014598540145985401,0.13333333333333333
AKSDAL,Fellestjenester,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Fresing,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Funksjonsnedsettelse,1,137,15,0.0072992700729927005,0.06666666666666667
AKSDAL,Gjenvinning,1,137,15,0.0072992700729927005,0.06666666666666667
