skill,job_count
Digitalisering,186
IT,174
Elektronikk,101
Dataanalyse,79
SAP,74
Python,66
Informasjonssikkerhet,58
IT-sikkerhet,45
Java,34
DevOps,31
BIM,30
Maskinlæring,27
Hjelpemidler,25
GIS,25
C#,23
Tekniske tegninger,21
.NET,21
SaaS,18
Cybersikkerhet,17
Kybernetikk,15
Digital sikkerhet,12
Informatikk,11
Robotikk,10
Datavarehus,10
Systemdesign,10
digitalisering,10
UX,8
Kontrollsystemer,8
ETL,8
IAM,7
maskinlæring,7
Signalbehandling,7
GDPR,6
CT,6
cybersikkerhet,6
TypeScript,6
informasjonssikkerhet,6
dataanalyse,5
Scrum,5
elektronikk,5
Byggautomasjon,5
Kvantitativ analyse,5
R,5
hjelpemidler,4
informatikk,4
Industriell programvare,4
C++,4
Business Intelligence,4
Database,4
Grafisk design,4
Drone,3
Angular,3
Data engineering,3
Business intelligence,3
Adobe Creative Cloud,3
Typescript,3
E-læring,3
Adobe Illustrator,3
NOC,3
Informasjonsarkitektur,3
data science,2
Systemtenkning,2
LMS,2
LabVIEW,2
Smidig,2
JavaScript,2
Krypto,2
POS,2
PDM,2
SEM,2
Data science,2
Helseinformatikk,2
Datavitenskap,2
GPS,2
FPGA,2
BI,2
CFD,2
Active Directory,2
PowerShell,2
PostgreSQL,2
Kretskort,2
ABAP,1
.net,1
Adobe Creative Suite,1
Agile,1
Cisco,1
IKT-infrastruktur,1
Geografiske informasjonssystemer,1
Digitaltrykk,1
DNS,1
Data Engineering,1
Datateknologi,1
Digital journalistikk,1
Digitale systemer,1
Cybersecurity,1
Cyber security,1
.Net,1
Algoritmer,1
Android,1
IT Security,1
Innebygde systemer,1
Kvanteteknologi,1
Powershell,1
PLC,1
PHP,1
Unity,1
Sem,1
Scala,1
UML,1
Software design,1
algoritmer,1
datavitenskap,1
data engineering,1
devops,1
iOS,1
helseinformatikk,1
systemdesign,1
vitenskapelig databehandling,1
