skill,job_frequency,esco_uri,esco_label,esco_language,is_digital_esco,retrieval_score,rerank_score,rerank_margin,match_method
.NET,21,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,.NET,en,True,,1.0,,exact
.Net,1,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,.NET,en,True,,1.0,,exact
.net,1,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,.NET,en,True,,1.0,,exact
ABAP,1,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ABAP,no,True,,1.0,,exact
Active Directory,2,http://data.europa.eu/esco/skill/d1e954cd-d290-4d80-97c0-7969960d2928,active directory,en,True,,1.0,,exact
Adobe Creative Cloud,3,http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03,Adobe Creative Cloud,no,True,,1.0,,exact
Adobe Creative Suite,1,http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03,adobe creative suite,en,True,,1.0,,exact
Adobe Illustrator,3,http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326,Adobe Illustrator,no,True,,1.0,,exact
Agile,1,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,Agile,en,True,,1.0,,exact
Algoritmer,1,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38,algoritmer,no,True,,1.0,,exact
Android,1,http://data.europa.eu/esco/skill/d8829a1d-dbde-435b-b921-29d6462f35c9,Android,en,True,,1.0,,exact
Angular,3,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,Angular,no,True,,1.0,,exact
BI,2,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,BI,en,True,,1.0,,exact
BIM,30,http://data.europa.eu/esco/skill/fae7e545-5114-43cc-8e83-178e2549ecb9,bim,no,True,,1.0,,exact
Business Intelligence,4,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,en,True,,1.0,,exact
Business intelligence,3,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,en,True,,1.0,,exact
Byggautomasjon,5,http://data.europa.eu/esco/skill/6709e92c-7546-46a4-aa57-5e951bd4cb0f,byggautomasjon,no,True,,1.0,,exact
C#,23,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,C#,no,True,,1.0,,exact
C++,4,http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,C++,no,True,,1.0,,exact
CFD,2,http://data.europa.eu/esco/skill/77592603-505b-4096-97dd-d0def6bd7601,CFD,en,True,,1.0,,exact
CT,6,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,cT,en,True,,1.0,,exact
Cisco,1,http://data.europa.eu/esco/skill/709ef32a-7435-48e2-8fa2-16e389ecab8a,Cisco,no,True,,1.0,,exact
Cyber security,1,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,cyber security,en,True,,1.0,,exact
Cybersecurity,1,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,cybersecurity,en,True,,1.0,,exact
Cybersikkerhet,17,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,cybersikkerhet,no,True,,1.0,,exact
DNS,1,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,DNS,no,True,,1.0,,exact
Data Engineering,1,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639,data engineering,en,True,,1.0,,exact
Data engineering,3,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639,data engineering,en,True,,1.0,,exact
Data science,2,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,data science,en,True,,1.0,,exact
Dataanalyse,79,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,dataanalyse,no,True,,1.0,,exact
Database,4,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,database,no,True,,1.0,,exact
Datateknologi,1,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,datateknologi,no,True,,1.0,,exact
Datavarehus,10,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de,datavarehus,no,True,,1.0,,exact
Datavitenskap,2,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,datavitenskap,no,True,,1.0,,exact
DevOps,31,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,no,True,,1.0,,exact
Digital journalistikk,1,http://data.europa.eu/esco/skill/16e462b2-b8dd-4842-8c31-71d0fb4be474,digital journalistikk,no,True,,1.0,,exact
Digital sikkerhet,12,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,digital sikkerhet,no,True,,1.0,,exact
Digitale systemer,1,http://data.europa.eu/esco/skill/397da142-ab35-48fe-b154-7c38f447adfb,digitale systemer,no,True,,1.0,,exact
Digitalisering,186,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,no,True,,1.0,,exact
