skill,job_count
Omsorg,1471
Kundeservice,1396
Helse,1106
Butikk,1057
Salg,981
Leder,895
Service,839
Kontor,808
Sykepleier,716
Kasse,636
Butikkmedarbeider,632
Personalansvar,618
Administrasjon,571
Sykehus,565
Assistent,543
Veiledning,533
Barn,519
Tverrfaglig samarbeid,476
Ledelse,475
Rådgiver,472
Vedlikehold,471
Teamarbeid,470
Barnehage,469
Prosjektledelse,446
Helsefagarbeider,441
Industri,433
Pleie,411
HMS,402
Kundebehandling,402
Renhold,382
Pasientbehandling,381
Bygg,377
Vernepleier,368
Analyse,367
Saksbehandling,359
Ingeniør,356
Varepåfylling,353
Matlaging,351
Offentlig forvaltning,337
Lager,329
Økonomi,325
Logistikk,321
Restaurant,315
Psykisk helse,309
Offentlig sektor,304
Miljøterapeut,301
Hjemmetjeneste,295
Skole,272
Rehabilitering,269
Produksjon,268
Sikkerhet,265
Servering,262
Sykehjem,256
BPA,246
Prosjektleder,243
Fagbrev,243
Selger,238
Lek,238
Dagligvare,229
Kjøkken,225
Pedagogikk,224
Regnskap,222
Personlig assistent,214
Undervisning,211
Miljøarbeid,210
Salgsmedarbeider,209
Pasientkontakt,203
Elektro,198
Lege,196
Relasjonsbygging,194
Verksted,192
Strategi,192
Planlegging,191
Digitalisering,186
Barnehagelærer,184
Avdelingsleder,182
Kantine,181
Transport,179
Dokumentasjon,177
Miljøarbeider,175
Pedagogisk arbeid,174
Kommunikasjon,174
IT,174
Beredskap,173
Rådgivning,173
Seniorrådgiver,172
Kokk,171
Helsefag,171
Prosjektarbeid,169
Økonomistyring,169
Barnevern,166
Feilsøking,165
Teknologi,164
Barne- og ungdomsarbeider,157
Pasientoppfølging,157
Sjåfør,156
Forvaltning,155
Autorisasjon,155
Teamleder,155
Reparasjon,155
Forretningsutvikling,151
HR,151
Bolig,150
Bygg og anlegg,150
Pedagogisk leder,150
Bofellesskap,146
Byggeplass,145
Fagarbeider,145
Butikkselger,144
Prosjektering,144
Rapportering,142
Eldreomsorg,142
Fysisk arbeid,141
Praktisk bistand,139
Mekaniker,139
Turnus,137
Poliklinikk,135
Kommunal helse,134
Elektriker,132
Rengjøring,128
Servitør,124
Drift,124
Forskning,123
Barn og unge,123
Endringsledelse,122
Innkjøp,122
Politi,121
Universitet,121
Ekstrahjelp,121
Kvalitetssikring,121
Anlegg,120
Sosialfag,119
Renholder,119
Finans,118
Behandling,117
Koordinering,117
Montering,115
Maritim,115
Sosialt arbeid,115
Hotell,114
Stell,114
Brukeroppfølging,112
Institusjon,111
ERP,110
Kvalitetskontroll,109
Butikkleder,109
Utredning,109
Teamledelse,108
Konsulent,108
Nattevakt,107
Sosionom,106
Barnehageassistent,106
Hygiene,105
Håndverker,104
Barnepass,104
Infrastruktur,103
Medikamenthåndtering,103
Elektronikk,101
Detaljhandel,101
Offshore,100
Teknisk leder,100
Matproduksjon,100
Varemottak,99
Varepåfyller,99
Legemiddelhåndtering,98
Prosjektstyring,97
Husarbeid,95
Serviceinnstilt,95
Butikksjef,95
Forsvar,94
Pedagog,94
Matservering,93
Automatisering,92
Laboratorium,91
Resepsjon,91
Hjelpepleier,91
Veileder,90
Teknisk drift,90
Utvikler,90
Nattarbeid,89
Vikar,89
Saksbehandler,88
B2B,88
Akuttmedisin,87
Hjemmehjelp,86
Hjemmesykepleie,86
Barnevernspedagog,86
Budsjettansvar,86
Sengepost,86
Arrangement,85
Tømrer,85
Forsvaret,84
Utviklingshemming,84
Ungdom,83
Arkiv,83
Organisasjonsutvikling,82
Automasjon,82
Markedsføring,82
Brukerstøtte,81
Økonomiansvar,81
Psykiatri,80
NAV,80
kontor,79
Tilsyn,79
Produktutvikling,79
Dataanalyse,79
Produksjonsmedarbeider,78
Forhandling,78
Spesialisthelsetjeneste,78
Kundeoppfølging,78
Revisjon,78
Opplæring,75
Oppfølging,74
Bærekraft,74
SAP,74
Gjestebehandling,74
Turnusarbeid,73
Klinisk arbeid,73
Omsorgsbolig,73
Lærer,73
Fabrikk,73
Salgsleder,72
Klinikk,71
Vann og avløp,71
Installasjon,71
Energi,71
Olje og gass,70
Virksomhetsstyring,70
IKT,70
Helsepersonell,70
Brukerstyrt personlig assistent,70
Excel,69
Habilitering,69
Forsikring,68
assistent,68
Bilverksted,68
Eiendom,68
Kafé,68
Internkontroll,67
Bil,67
Sosiale medier,67
Teknisk dokumentasjon,67
Varehåndtering,66
Python,66
Systemutvikling,66
CRM,66
Tannklinikk,66
Bank,65
omsorg,65
Tilkallingsvikar,65
Daglig leder,65
Mote,64
Jurist,64
Bilmekaniker,64
Varehandel,64
Avlastning,64
Ungdomsarbeid,63
Bar,63
Ordrebehandling,63
Miljø,63
Resultatansvar,63
Salgskonsulent,63
Risikovurdering,63
Laboratoriearbeid,63
Kvalitet,62
Relasjonskompetanse,62
Servicemedarbeider,62
Kirke,62
Teknisk salg,62
personlig assistent,62
Etterforskning,62
Rydding,61
Koordinator,60
Bistand,60
Pakking,60
Friluftsliv,60
Journalføring,60
Tverrfaglig team,59
Kundekontakt,59
Skiftarbeid,59
Serviceinnstilling,59
Programmering,59
Montør,59
Maskinfører,59
Informasjonssikkerhet,58
Kvalitetsarbeid,58
Vakt,58
Telefon,57
AI,57
Driftsleder,57
Demens,57
Miljøterapi,56
Kommunal sektor,56
Budsjett,56
